site,method,bits,relative_mse,cosine,sqnr_db
attn_input,mxfp4,4,0.02605531034483151,0.9871657030148939,15.91300088709051
attn_input,rot_lm,3,0.032186177051202816,0.9840467057444833,14.948153322393244
attn_input,rot_lm,4,0.008367597654631192,0.9959723949432373,20.78751936825839
attn_input,rot_mxfp4,4,0.012465410865843296,0.9939863410863009,19.050180781971324
ffn_input,mxfp4,4,0.01575447271832011,0.9921427992257205,18.05105616829612
ffn_input,rot_lm,3,0.03306310471485962,0.9833828779784116,14.80685333772139
ffn_input,rot_lm,4,0.009073140268976038,0.9955015209588137,20.422640973871406
ffn_input,rot_mxfp4,4,0.013486997817050327,0.9934820559891787,18.701616634022106
ffn_intermediate,mxfp4,4,0.02299892648377202,0.990630260922692,16.42979552529075
ffn_intermediate,rot_lm,3,0.03436494076793844,0.9860609011216597,14.71522482958707
ffn_intermediate,rot_lm,4,0.007896407994187692,0.9970106076110493,21.23962705785578
ffn_intermediate,rot_mxfp4,4,0.01395152077417482,0.9948278204961256,18.73136294971813
k_proj_out,mxfp4,4,0.02394692510874434,0.9881286187605425,16.27958804910833
k_proj_out,rot_lm,3,0.03161892642013051,0.9841055436567827,15.003046382557262
k_proj_out,rot_lm,4,0.0087854106571864,0.9955988038669933,20.564036542719062
k_proj_out,rot_mxfp4,4,0.013505230954086239,0.9933246915990656,18.696187886324797
q_proj_out,mxfp4,4,0.024645679926669054,0.9878161928870461,16.133993452245537
q_proj_out,rot_lm,3,0.03123487320474603,0.9844409091906114,15.055765238675205
q_proj_out,rot_lm,4,0.008719228504394943,0.995764288035306,20.596191839738324
q_proj_out,rot_mxfp4,4,0.013109413483603434,0.9936208481138403,18.824964349920098
v_proj_out,mxfp4,4,0.015572572338648817,0.9921986162662506,18.11288408799605
v_proj_out,rot_lm,3,0.03301921546120535,0.9833621057597074,14.813490737568248
v_proj_out,rot_lm,4,0.009091567248106003,0.9954398355700753,20.414785731922496
v_proj_out,rot_mxfp4,4,0.013522927014326508,0.9933085983449762,18.690076221119273
